created_at,entry_id,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3,,,AVERAGE PRESSURE AND TEMPERATURE ANALYSIS OF PERSON,,,,,
2025-03-16T05:16:27+00:00,1,30.33,30.45,30.06,100,8.8,100,,,Temperature 1,Temperature 2,Temperature 3,Pressure 1,Pressure 2,Pressure 3
2025-03-16T05:16:48+00:00,2,30.29,30.49,30.07,100,4.86667,100,,,31.2663185,30.3405165,30.635319,120.6850015,124.728328,180.100001
2025-03-16T05:17:09+00:00,3,30.13,30,30.35,100,100,100,,,,,,,,
2025-03-16T05:18:00+00:00,4,30.46,30.4,30.41,100,5.66667,100,,,,,,,,
2025-03-16T05:18:21+00:00,5,30.06,30.15,30.31,100,100,100,,,,,,,,
2025-03-16T05:18:43+00:00,6,30.78388,30.54212,31.10623,104.60001,135.63333,199.7,,,,,,,,
2025-03-16T05:19:04+00:00,7,30.94506,30.86447,30.94506,102.80001,135.63333,199.7,,,,,,,,
2025-03-16T05:19:26+00:00,8,31.18681,30.05861,30.86447,103.4,132.19998,204.90001,,,,,,,,
2025-03-16T05:19:47+00:00,9,31.75092,30.21978,31.10623,100,132.53333,194.60001,,,,,,,,
2025-03-16T05:20:08+00:00,10,31.8315,30.78388,30.86447,100,136.13333,204.89999,,,,,,,,
2025-03-16T05:20:30+00:00,11,31.8315,30.05861,30.94506,101.4,128.99998,199.39999,,,,,,,,
2025-03-16T05:20:51+00:00,12,31.91209,30.7033,30.94506,101.10001,137.36665,198.60001,,,,,,,,
2025-03-16T05:21:13+00:00,13,32.07326,30.38095,30.7033,100,131.99998,198,,,,,,,,
2025-03-16T05:21:34+00:00,14,31.99267,30.38,30.46154,100,137.36665,204.80002,,,,,,,,
2025-03-16T05:21:55+00:00,15,31.75092,30.37,30.30037,100,100,500,,,,,,,,
2025-03-16T05:22:17+00:00,16,31.99267,30.05861,30.94506,100.4,500,199.39999,,,,,,,,
2025-03-16T05:22:38+00:00,17,30.43,30.01,30.18,100,100,100,,,,,,,,
2025-03-16T05:22:59+00:00,18,31.34799,30.12,30.33,500,100,100,,,,,,,,
2025-03-16T05:23:21+00:00,19,31.99267,30.43,30.94506,100,138.2,196.7,,,,,,,,
2025-03-16T05:23:42+00:00,20,32.23443,30.34,30.86447,100,129.16666,201.3,,,,,,,,
